Date,Price,Open,High,Low,Volume,Chg%
17-May-22,112.4,113.87,115.56,111.75,252.63K,-1.58%
16-May-22,114.2,110.98,114.9,108.11,289.13K,3.36%
13-May-22,110.49,106.65,110.64,106.29,240.99K,4.11%
12-May-22,106.13,105.63,107.37,102.66,323.55K,0.40%
11-May-22,105.71,99,106.44,98.2,382.70K,5.96%
10-May-22,99.76,102.65,104.16,98.86,389.75K,-3.23%
9-May-22,103.09,110.43,110.49,102.13,368.18K,-6.09%
6-May-22,109.77,108.7,111.18,107.24,294.28K,1.39%
5-May-22,108.26,107.58,111.37,106.45,286.92K,0.42%
4-May-22,107.81,103.5,108.61,102.95,272.91K,5.27%
3-May-22,102.41,105.08,105.8,102.1,239.27K,-2.62%
2-May-22,105.17,104,105.94,100.28,261.88K,0.46%
29-Apr-22,104.69,105.17,107.99,103.78,294.39K,-0.64%
28-Apr-22,105.36,102.11,105.68,100.13,312.06K,3.27%
27-Apr-22,102.02,101.76,102.99,99.8,278.78K,0.31%
26-Apr-22,101.7,98.64,102.78,97.06,351.85K,3.21%
25-Apr-22,98.54,101.38,101.55,95.28,328.15K,-3.46%
22-Apr-22,102.07,104.07,104.22,101.06,246.12K,-1.66%
21-Apr-22,103.79,102.5,105.42,102.01,280.32K,1.01%
20-Apr-22,102.75,103.05,104.16,100.7,17.02K,0.19%
19-Apr-22,102.56,107.75,108.92,102.1,71.79K,-5.22%
18-Apr-22,108.21,107.03,109.81,106,68.49K,1.18%
14-Apr-22,106.95,104.2,107.64,102.12,244.95K,2.59%
13-Apr-22,104.25,100.91,104.47,99.87,312.50K,3.63%
12-Apr-22,100.6,95.17,101.35,94.84,329.04K,6.69%
11-Apr-22,94.29,98.4,98.52,92.93,315.87K,-4.04%
8-Apr-22,98.26,97.17,98.76,95.29,310.08K,2.32%
7-Apr-22,96.03,97.16,98.82,93.81,367.32K,-0.21%
6-Apr-22,96.23,101.24,104.02,95.73,366.04K,-5.62%
5-Apr-22,101.96,103.66,105.59,99.88,280.28K,-1.28%
4-Apr-22,103.28,98.95,103.94,98.05,288.13K,4.04%
1-Apr-22,99.27,101.23,101.75,97.78,324.78K,-1.01%
31-Mar-22,100.28,107.45,107.8,99.66,450.85K,-6.99%
30-Mar-22,107.82,105.24,108.75,104.55,284.54K,3.43%
29-Mar-22,104.24,103.47,107.84,98.44,387.20K,-1.62%
28-Mar-22,105.96,112.92,112.93,102.83,372.25K,-6.97%
25-Mar-22,113.9,111.75,114.12,108.68,320.30K,1.39%
